uptime,temp_cpu,crit_temp_cpu,temp_gpu,cpu_usage,gpu_usage,ram_usage
1792985,38.44444444444444,100.0,-1,4.8,-1,53.9
1794003,38.333333333333336,100.0,-1,9.7,-1,53.9
1795021,38.11111111111112,100.0,-1,4.9,-1,53.9
1796041,37.77777777777778,100.0,-1,5.6,-1,53.9
1797061,38.0,100.0,-1,10.5,-1,54.0
1798080,38.22222222222222,100.0,-1,10.0,-1,54.0
1799098,38.11111111111112,100.0,-1,12.2,-1,54.0
1800118,38.44444444444444,100.0,-1,8.2,-1,54.0
1801134,37.66666666666666,100.0,-1,7.2,-1,53.9
1802152,38.333333333333336,100.0,-1,26.9,-1,53.9
1803178,39.66666666666666,100.0,-1,26.9,-1,53.9
1804205,40.11111111111112,100.0,-1,30.9,-1,53.9
1805228,39.0,100.0,-1,33.6,-1,54.0
1806241,47.66666666666666,100.0,-1,31.6,-1,54.0
1807255,46.22222222222222,100.0,-1,13.8,-1,54.1
1808278,40.333333333333336,100.0,-1,21.3,-1,54.1
1809309,38.77777777777778,100.0,-1,10.0,-1,54.1
1810327,39.11111111111112,100.0,-1,43.4,-1,54.1
1811343,43.44444444444444,100.0,-1,9.9,-1,54.1
1812365,38.888888888888886,100.0,-1,31.9,-1,54.1
1813384,39.22222222222222,100.0,-1,10.0,-1,54.1
1814405,39.22222222222222,100.0,-1,33.6,-1,54.0
1815426,39.66666666666666,100.0,-1,7.1,-1,54.0
1816445,39.0,100.0,-1,35.2,-1,54.0
1817462,46.333333333333336,100.0,-1,17.9,-1,54.0
1818475,39.333333333333336,100.0,-1,25.1,-1,54.0
